"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","hoa.fee","status","price","listedDate","removedDate","daysOnMarket"
"1","3550-Jill-Ln,-Hilliard,-OH-43026","3550 Jill Ln, Hilliard, OH 43026","3550 Jill Ln",NA,"Hilliard","OH","43026","Franklin",40.0245,-83.1486,"Single Family",NA,3,1,972,NA,NA,NA,"Inactive",219900,"2022-01-07T09:18:24.191Z","2022-08-09T20:04:17.623Z",215
"1","3354-Anchorage-Ln,-Hilliard,-OH-43026","3354 Anchorage Ln, Hilliard, OH 43026","3354 Anchorage Ln",NA,"Hilliard","OH","43026","Franklin",40.0508,-83.1076,"Single Family",NA,4,2.5,2600,NA,NA,NA,"Inactive",449900,"2022-01-08T13:23:52.043Z","2022-08-09T20:02:49.453Z",214
"1","3516-Jill-Ln,-Hilliard,-OH-43026","3516 Jill Ln, Hilliard, OH 43026","3516 Jill Ln",NA,"Hilliard","OH","43026","Franklin",40.0238,-83.1492,"Single Family",NA,3,2.5,1384,NA,NA,NA,"Inactive",359900,"2022-01-30T12:47:57.518Z","2022-08-09T20:02:49.453Z",192
"1","3829-Lakedale-Dr,-Hilliard,-OH-43026","3829 Lakedale Dr, Hilliard, OH 43026","3829 Lakedale Dr",NA,"Hilliard","OH","43026","Franklin",40.0322,-83.1124,"Condo",NA,2,3,1766,NA,NA,NA,"Inactive",289900,"2022-02-03T12:30:31.972Z","2022-08-09T20:02:49.453Z",188
"1","4394-Swenson-St,-Hilliard,-OH-43026","4394 Swenson St, Hilliard, OH 43026","4394 Swenson St",NA,"Hilliard","OH","43026","Franklin",40.0181,-83.1307,"Single Family",NA,4,2,1831,NA,NA,NA,"Inactive",299900,"2021-12-25T12:57:22.825Z","2022-08-09T19:54:31.800Z",228
"1","3515-Leap-Rd,-Hilliard,-OH-43026","3515 Leap Rd, Hilliard, OH 43026","3515 Leap Rd",NA,"Hilliard","OH","43026","Franklin",40.0244,-83.1403,"Single Family",NA,3,1,1352,NA,NA,NA,"Inactive",299900,"2022-01-24T12:33:07.747Z","2022-08-09T19:54:31.800Z",198
"1","8210-Patterson-Rd,-Hilliard,-OH-43026","8210 Patterson Rd, Hilliard, OH 43026","8210 Patterson Rd",NA,"Hilliard","OH","43026","Franklin",40.0072,-83.2279,"Single Family",NA,4,3.5,5067,NA,NA,NA,"Inactive",900000,"2021-10-29T14:34:47.560Z","2022-08-09T19:51:41.883Z",285
"1","5172-Cavalier-Dr,-Hilliard,-OH-43026","5172 Cavalier Dr, Hilliard, OH 43026","5172 Cavalier Dr",NA,"Hilliard","OH","43026","Franklin",40.0245,-83.1533,"Single Family",NA,3,1,1282,NA,NA,NA,"Inactive",199900,"2022-01-07T09:12:12.893Z","2022-08-09T19:49:56.667Z",215
"1","3953-Hill-Park-Rd,-Hilliard,-OH-43026","3953 Hill Park Rd, Hilliard, OH 43026","3953 Hill Park Rd",NA,"Hilliard","OH","43026","Franklin",40.0309,-83.1746,"Condo",NA,3,2.5,1646,NA,NA,NA,"Inactive",249900,"2021-12-16T13:34:43.063Z","2022-08-09T19:47:06.797Z",237
"1","1812-Ridgebury-Dr,-Hilliard,-OH-43026","1812 Ridgebury Dr, Hilliard, OH 43026","1812 Ridgebury Dr",NA,"Hilliard","OH","43026","Franklin",39.9875,-83.1582,"Condo",NA,3,2.5,1450,NA,NA,NA,"Inactive",226000,"2022-01-05T11:03:58.882Z","2022-08-09T19:47:06.797Z",217
"1","1823-Bennigan-Dr,-Unit-89C,-Hilliard,-OH-43026","1823 Bennigan Dr, Unit 89C, Hilliard, OH 43026","1823 Bennigan Dr","Unit 89C","Hilliard","OH","43026","Franklin",39.9881,-83.1564,"Condo",NA,2,2.5,1152,NA,NA,NA,"Inactive",200000,"2022-01-23T10:50:35.434Z","2022-08-09T19:47:06.797Z",199
"1","5257-Hayden-Woods-Ln,-Unit-19-525,-Hilliard,-OH-43026","5257 Hayden Woods Ln, Unit 19-525, Hilliard, OH 43026","5257 Hayden Woods Ln","Unit 19-525","Hilliard","OH","43026","Franklin",40.0583,-83.176,"Condo",NA,2,2,1828,NA,NA,NA,"Inactive",344900,"2021-11-05T14:18:53.203Z","2022-08-09T19:44:15.114Z",278
